id,Nombre,Apellido,Email,ciclo_1,ciclo_2,ciclo_3,Email.1,apps usadas
Paul,Casey,paul.casey.1@gslingacademy.com,12.6,16.0,17.4,,,
Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,18.0,17.6,18.0,,,
Tina,Andrews,tina.andrews.3@gslingacademy.com,13.0,15.4,18.8,,,
Tara,Clark,tara.clark.4@gslingacademy.com,17.8,12.6,17.2,,,
Anthony,Campos,anthony.campos.5@gslingacademy.com,16.0,14.8,15.2,,,
Kelly,Wade,kelly.wade.6@gslingacademy.com,14.4,16.0,16.8,,,
Anthony,Smith,anthony.smith.7@gslingacademy.com,17.6,15.2,12.8,,,
George,Short,george.short.8@gslingacademy.com,16.8,14.0,17.0,,,
Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,16.2,14.8,14.4,,,
Audrey,Simpson,audrey.simpson.10@gslingacademy.com,13.4,14.2,14.6,,,
Gabrielle,White,gabrielle.white.11@gslingacademy.com,14.2,16.2,13.2,,,
Clinton,Randolph,clinton.randolph.12@gslingacademy.com,17.4,12.8,12.2,,,
Patricia,Gomez,patricia.gomez.13@gslingacademy.com,17.8,13.0,14.6,,,
Pamela,Jackson,pamela.jackson.14@gslingacademy.com,11.4,18.0,12.6,,,
Laura,Jackson,laura.jackson.15@gslingacademy.com,18.4,19.0,17.4,,,
Roger,Wiley,roger.wiley.16@gslingacademy.com,15.8,14.8,16.8,,,
Vicki,Thompson,vicki.thompson.17@gslingacademy.com,16.0,17.8,14.4,,,
Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,18.6,15.2,15.4,,,
Jonathan,Werner,jonathan.werner.19@gslingacademy.com,19.4,17.4,17.2,,,
Angela,Rios,angela.rios.20@gslingacademy.com,13.2,14.4,20.0,,,
Tim,Nichols,tim.nichols.21@gslingacademy.com,14.6,19.4,14.4,,,
Kyle,Willis,kyle.willis.22@gslingacademy.com,16.6,17.6,17.6,,,
Shannon,Simpson,shannon.simpson.23@gslingacademy.com,14.2,10.8,18.0,,,
Sean,Griffin,sean.griffin.24@gslingacademy.com,11.2,16.0,15.8,,,
Cassandra,West,cassandra.west.25@gslingacademy.com,19.0,17.6,18.6,,,
Patricia,Chavez,patricia.chavez.26@gslingacademy.com,18.6,18.0,19.8,,,
Jason,Williams,jason.williams.27@gslingacademy.com,12.6,18.0,18.0,,,
Peter,Gibbs,peter.gibbs.28@gslingacademy.com,16.2,19.2,17.0,,,
Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,15.2,15.4,16.6,,,
Carol,Hill,carol.hill.30@gslingacademy.com,6.0,14.8,14.6,,,
Angie,Miller,angie.miller.31@gslingacademy.com,17.6,17.0,14.4,,,
Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,16.4,17.0,14.4,,,
Timothy,Bryant,timothy.bryant.33@gslingacademy.com,17.0,12.4,12.4,,,
Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,15.6,15.4,13.6,,,
Lisa,Burns,lisa.burns.35@gslingacademy.com,17.2,13.8,12.4,,,
Kelly,Farley,kelly.farley.36@gslingacademy.com,16.0,13.2,13.0,,,
Ryan,Lee,ryan.lee.37@gslingacademy.com,17.8,18.2,19.2,,,
Michael,Gilmore,michael.gilmore.38@gslingacademy.com,16.2,18.2,17.6,,,
Miguel,Martinez,miguel.martinez.39@gslingacademy.com,18.8,16.4,15.6,,,
Christopher,Taylor,christopher.taylor.40@gslingacademy.com,12.0,16.6,19.0,,,
